'word-id', 'word', missing frequency in 'title_tokenized', missing frequency in 'title-raw_tokenized'
123, mirnas, 70
419, rnas, 46, 1
508, proteinprotein, 840
592, highthroughput, 520
742, micrornas, 63, 9
1205, cisregulatory, 340
1264, mrnas, 80
1401, peertopeer, 160
1464, proteincoding, 110
1500, wholegenome, 320
1691, cnvs, 30
1797, utrs, 20
1882, chipseq, 230
1939, caenorhabditis, 19, 1
1956, tissuespecific, 110
2027, sirnas, 40
2049, contextaware, 30
2050, genomescale, 240
2106, rnaseq, 260
2268, kegg, 9, 3
2273, hkme, 10
2332, chipchip, 90
2338, ncrnas00
2503, conservacion00
2667, gwas, 3, 1
2715, higherorder, 20
2763, agentbased, 110
2854, proteindna, 100
2865, contentbased, 40
2870, highdimensional, 70
2927, proteinligand, 60
2972, bottomup, 30
3064, humancomputer, 90
3119, domainspecific, 10
3164, singlemolecule, 160
3187, modelbased, 80
3329, bioconductor, 10, 5
3359, hapmap, 2, 1
3414, selforganizing, 10
3446, dnabinding, 20
3506, crossvalidation, 50
3651, argonaute00
3699, lowfrequency, 30
3765, ncrna00
3805, cscw, 20
3866, eventrelated, 50
3881, shortread, 14, 1
3882, textmining, 80
3888, mirnatarget, 10
3916, individualbased, 40
3925, graphbased, 90
3927, knowledgebased, 70
3974, orfs, 10
3979, structurebased, 70
3993, coarsegrained, 50
4008, svms00
4027, copynumber, 110
4036, ctcf, 3, 1
4060, crms00
4110, pvalues, 10
4126, falsepositive00
4153, semisupervised, 40
4157, allatom, 30
4217, gsea00
4219, wileyliss00
4251, pfam, 2, 1
4341, rulebased, 20
4363, twohybrid, 50
4366, kcalmol00
4399, cmyc, 10
4413, sbml, 50
4431, pairedend, 60
4436, psycinfo00
4458, eqtls00
4470, eqtl, 40
4612, umls00
4627, tfbss00
4653, drosha, 10
4690, crossspecies, 20
4718, restingstate, 40
4732, sequencebased00
4749, selfefficacy00
4751, ontologybased, 90
4775, faulttolerant, 20
4793, partofspeech00
4816, networkbased, 100
4867, dnds, 20
4951, biodiversidad00
4987, singlecell, 30
4991, cytoscape, 7, 2
5062, pirnas, 10
5072, higherlevel00
5121, selforganized, 60
5126, rtpcr, 50
5128, timevarying, 20
5165, mirnamediated, 10
5253, widearea, 20
5262, stdp, 20
5274, doublestranded, 10
5296, speciesspecific, 20
5342, biocreative, 10
5388, qpcr00
5393, goaldirected, 20
5466, pthis00
5476, wellstudied00
5478, charmm, 1, 1
5613, singlephoton, 10
5646, lossoffunction00
5648, hebbian, 3, 2
5704, cellcycle, 30
5738, freeenergy, 40
5740, cisacting, 10
5765, selfassembly, 20
5783, swissprot00
5824, escience, 20
5858, contextfree, 20
5871, datadriven, 30
5884, kmer, 20
5919, geneprotein, 30
5977, humanspecific, 40
5990, genechip, 10
5994, interpro, 3, 1
6032, adaboost00
6060, signaltonoise00
6076, regionbased00
6082, highconfidence, 10
6087, statespace, 20
6104, solexa, 40
6113, lineagespecific00
6175, kolmogorov, 20
6209, allelespecific, 30
6218, reactome, 4, 4
6244, basepairing00
6257, twocomponent, 20
6294, npcomplete, 10
6334, metaanalyses, 30
6335, polya00
6357, usercentered, 10
6375, timedependent, 10
6415, inparanoid, 2, 2
6419, prosite, 20
6421, strandspecific, 40
6495, boseeinstein, 40
6498, selfsimilar00
6513, agerelated, 20
6532, locationbased, 10
6561, systemslevel, 10
6563, connotea00
6628, celltocell, 30
6685, finitestate, 20
6775, microarraybased, 20
6798, refseq00
6808, keywordbased00
6839, lowdimensional00
6873, wellsuited00
6889, internetbased, 10
6891, offtheshelf00
6914, tfidf, 10
6915, bindingsite00
6918, crfs00
6923, transfac, 1, 1
6934, twostage00
6958, nearestneighbor00
6962, singlestranded, 10
6966, druglike, 10
6968, fmeasure00
7002, stemloop, 10
7012, secondorder, 10
7042, contextspecific, 30
7070, domaindomain, 10
7105, constraintbased, 20
7108, errorcorrecting, 10
7112, locationaware00
7155, errorprone00
7167, cocitation, 10
7168, generegulatory, 30
7193, diseaserelated00
7197, machinereadable00
7219, literaturebased, 20
7222, selfsimilarity, 20
7231, nonmodel, 2, 1
7260, systemlevel00
7293, sitespecific, 30
7299, eventbased, 20
7300, imagebased, 20
7355, aspectoriented, 10
7364, populationbased, 20
7370, taskrelated00
7391, userspecified00
7398, backgroundthe00
7470, wholecell, 30
7477, falsenegative00
7497, meanfield, 10
7584, inew00
7596, casecontrol, 10
7609, omim, 10
7623, tolllike, 30
7625, cellcell00
7644, leastsquares00
7687, kernelbased, 20
7696, basecalling, 30
7701, psiblast00
7755, nucleosomefree00
7759, premrna, 10
7874, nargkn00
7883, genespecific00
7903, genegene00
7930, nongaussian00
7998, rewardrelated, 10
8019, hypothesisdriven, 10
8031, deoxyribozymebased, 10
8032, deoxyribozyme-based0, 1
8040, biologys, 20
8050, blastphemy, 10
8052, BLASTphemy0, 1
8059, epsps, 10
8084, visualsaccadic, 10
8085, visual-saccadic0, 1
8088, textis, 10
8089, TextâIs0, 1
8123, evaluationof, 1, 1
8143, orfeome, 20
8144, proteomescale, 20
8147, proteome-scale0, 2
8159, micrornatarget, 30
8160, MicroRNAâTarget0, 1
8165, modalityspecific, 10
8191, GENOMES0, 1
8217, selfperpetuating, 10
8218, doublenegative, 20
8258, spinglass, 10
8260, spin-glass0, 1
8261, modecoupling, 10
8262, mode-coupling0, 1
8290, timingdependent, 40
8293, timing-dependent0, 2
8294, braincomputer, 10
8299, brocas, 10
8349, dataa, 10
8350, dataâa0, 1
8353, fixational, 1, 1
8366, ribognome, 10
8367, ribo-gnome0, 1
8398, quantumenhanced, 10
8400, quantum-enhanced0, 1
8453, dorsalventral, 10
8465, Neutralism0, 1
8475, spectrometrybased, 50
8478, domainspecificity, 10
8480, domain-specificity0, 1
8492, voxelbased, 10
8493, morphometrythe, 10
8513, premessenger, 10
8515, PRE-MESSENGER0, 1
8522, positionbased, 10
8527, matricesthe, 10
8530, basicanalysis, 10
